Estacao;Data;Hora;Velocidade do Vento Media;
83726;25/08/2015;0000;1;
83726;26/08/2015;0000;1;
83726;27/08/2015;0000;2.333333;
83726;28/08/2015;0000;1.666667;
83726;29/08/2015;0000;1.666667;
83726;30/08/2015;0000;0.666667;
83726;31/08/2015;0000;0.333333;
83726;01/09/2015;0000;1.333333;
83726;02/09/2015;0000;1;
83726;03/09/2015;0000;1.666667;
83726;04/09/2015;0000;2.333333;
83726;05/09/2015;0000;0.666667;
83726;06/09/2015;0000;0.333333;
83726;07/09/2015;0000;1;
83726;08/09/2015;0000;2.666667;
83726;09/09/2015;0000;1.666667;
83726;10/09/2015;0000;1;
83726;11/09/2015;0000;1.666667;
83726;12/09/2015;0000;2.333333;
83726;13/09/2015;0000;1.666667;
83726;14/09/2015;0000;1;
83726;15/09/2015;0000;0.433333;
83726;16/09/2015;0000;1.666667;
83726;17/09/2015;0000;1.333333;
83726;18/09/2015;0000;0.033333;
83726;19/09/2015;0000;1;
83726;20/09/2015;0000;0.333333;
83726;21/09/2015;0000;1.666667;
83726;22/09/2015;0000;0.666667;
83726;23/09/2015;0000;0.666667;
83726;24/09/2015;0000;0.666667;
83726;25/09/2015;0000;3;
83726;26/09/2015;0000;1.666667;
83726;27/09/2015;0000;1.666667;
83726;28/09/2015;0000;1;
83726;29/09/2015;0000;0.666667;
83726;30/09/2015;0000;1;
83726;01/10/2015;0000;1;
83726;02/10/2015;0000;0.666667;
83726;03/10/2015;0000;0.666667;
83726;04/10/2015;0000;0.333333;
83726;05/10/2015;0000;1.666667;
83726;06/10/2015;0000;1;
83726;07/10/2015;0000;1.666667;
83726;08/10/2015;0000;1;
83726;09/10/2015;0000;3;
83726;10/10/2015;0000;1;
83726;11/10/2015;0000;1.666667;
83726;12/10/2015;0000;1.666667;
83726;13/10/2015;0000;0.666667;
83726;14/10/2015;0000;1.333333;
83726;15/10/2015;0000;0.666667;
83726;16/10/2015;0000;0.666667;
83726;17/10/2015;0000;1.333333;
83726;18/10/2015;0000;1.666667;
83726;19/10/2015;0000;1.666667;
83726;20/10/2015;0000;1.666667;
83726;21/10/2015;0000;1.666667;
83726;22/10/2015;0000;3;
83726;23/10/2015;0000;1;
83726;24/10/2015;0000;2.333333;
83726;25/10/2015;0000;3.666667;
83726;26/10/2015;0000;1;
83726;27/10/2015;0000;0.333333;
83726;28/10/2015;0000;0.333333;
83726;29/10/2015;0000;1;
83726;30/10/2015;0000;1;
83726;31/10/2015;0000;1;
83726;01/11/2015;0000;0;
83726;02/11/2015;0000;1;
83726;03/11/2015;0000;1;
83726;04/11/2015;0000;1.666667;
83726;05/11/2015;0000;0.666667;
83726;06/11/2015;0000;1.666667;
83726;07/11/2015;0000;1.666667;
83726;08/11/2015;0000;1;
83726;09/11/2015;0000;0.666667;
83726;10/11/2015;0000;0.333333;
83726;11/11/2015;0000;0.666667;
83726;12/11/2015;0000;0.666667;
83726;13/11/2015;0000;1.666667;
83726;14/11/2015;0000;0.666667;
83726;15/11/2015;0000;0.333333;
83726;16/11/2015;0000;1;
83726;17/11/2015;0000;1.666667;
83726;18/11/2015;0000;2.333333;
83726;19/11/2015;0000;2.333333;
83726;20/11/2015;0000;1;
83726;21/11/2015;0000;1.666667;
83726;22/11/2015;0000;1.666667;
83726;23/11/2015;0000;0.666667;
83726;24/11/2015;0000;1;
83726;25/11/2015;0000;0.333333;
83726;26/11/2015;0000;0.666667;
83726;27/11/2015;0000;1;
83726;28/11/2015;0000;0.666667;
83726;29/11/2015;0000;1;
83726;30/11/2015;0000;1;
83726;01/12/2015;0000;0.666667;
83726;02/12/2015;0000;1.333333;
83726;03/12/2015;0000;1;
83726;04/12/2015;0000;1;
83726;05/12/2015;0000;1.666667;
83726;06/12/2015;0000;0.666667;
83726;07/12/2015;0000;1;
83726;08/12/2015;0000;1;
83726;09/12/2015;0000;1.666667;
83726;10/12/2015;0000;1;
83726;11/12/2015;0000;1;
83726;12/12/2015;0000;3;
83726;13/12/2015;0000;0.166667;
83726;14/12/2015;0000;1;
83726;15/12/2015;0000;1.666667;
83726;16/12/2015;0000;1;
83726;17/12/2015;0000;1;
83726;18/12/2015;0000;1;
83726;19/12/2015;0000;1;
83726;20/12/2015;0000;0.666667;
83726;21/12/2015;0000;0.666667;
83726;22/12/2015;0000;1.666667;
83726;23/12/2015;0000;1;
83726;24/12/2015;0000;0.333333;
83726;25/12/2015;0000;0.666667;
83726;26/12/2015;0000;1;
83726;27/12/2015;0000;1;
83726;28/12/2015;0000;1.666667;
83726;29/12/2015;0000;3;
83726;30/12/2015;0000;1.666667;
83726;31/12/2015;0000;1;
83726;01/01/2016;0000;1.666667;
83726;02/01/2016;0000;1;
83726;03/01/2016;0000;0.666667;
83726;04/01/2016;0000;1;
83726;05/01/2016;0000;1.666667;
83726;06/01/2016;0000;1.333333;
83726;07/01/2016;0000;0.333333;
83726;08/01/2016;0000;0.666667;
83726;09/01/2016;0000;1;
83726;10/01/2016;0000;2.333333;
83726;11/01/2016;0000;0.666667;
83726;12/01/2016;0000;1;
83726;13/01/2016;0000;1;
83726;14/01/2016;0000;0.666667;
83726;15/01/2016;0000;0.333333;
83726;16/01/2016;0000;1.333333;
83726;17/01/2016;0000;1.333333;
83726;18/01/2016;0000;1.666667;
83726;19/01/2016;0000;3;
83726;20/01/2016;0000;2.333333;
83726;21/01/2016;0000;3;
83726;22/01/2016;0000;1.666667;
83726;23/01/2016;0000;0.666667;
83726;24/01/2016;0000;2.333333;
